datetime,location,co2
2017-03-25 09:02:21,Georgetown,2
2017-03-25 09:02:22,Georgetown,746
2017-03-25 09:02:23,Georgetown,741
2017-03-25 09:02:24,Georgetown,739
2017-03-25 09:02:25,Georgetown,739
2017-03-25 09:02:26,Georgetown,733
2017-03-25 09:02:27,Georgetown,731
2017-03-25 09:02:28,Georgetown,728
2017-03-25 09:02:29,Georgetown,725
2017-03-25 09:02:30,Georgetown,733
2017-03-25 09:02:31,Georgetown,744
2017-03-25 09:02:32,Georgetown,746
2017-03-25 09:02:33,Georgetown,746
2017-03-25 09:02:34,Georgetown,749
2017-03-25 09:02:35,Georgetown,762
2017-03-25 09:02:36,Georgetown,773
2017-03-25 09:02:37,Georgetown,775
2017-03-25 09:02:38,Georgetown,775
2017-03-25 09:02:39,Georgetown,773
2017-03-25 09:02:40,Georgetown,775
2017-03-25 09:02:41,Georgetown,767
2017-03-25 09:02:42,Georgetown,762
2017-03-25 09:02:43,Georgetown,757
2017-03-25 09:02:44,Georgetown,754
2017-03-25 09:02:45,Georgetown,754
2017-03-25 09:02:46,Georgetown,757
2017-03-25 09:02:47,Georgetown,757
2017-03-25 09:02:48,Georgetown,746
2017-03-25 09:02:49,Georgetown,736
2017-03-25 09:02:50,Georgetown,733
2017-03-25 09:02:51,Georgetown,731
2017-03-25 09:02:52,Georgetown,720
2017-03-25 09:02:53,Georgetown,718
2017-03-25 09:02:54,Georgetown,720
2017-03-25 09:02:55,Georgetown,728
2017-03-25 09:02:56,Georgetown,736
2017-03-25 09:02:57,Georgetown,739
2017-03-25 09:02:58,Georgetown,744
2017-03-25 09:02:59,Georgetown,744
2017-03-25 09:03:00,Georgetown,744
2017-03-25 09:03:01,Georgetown,752
2017-03-25 09:03:02,Georgetown,754
2017-03-25 09:03:03,Georgetown,754
2017-03-25 09:03:04,Georgetown,749
2017-03-25 09:03:05,Georgetown,749
2017-03-25 09:03:06,Georgetown,752
2017-03-25 09:03:07,Georgetown,754
2017-03-25 09:03:08,Georgetown,754
2017-03-25 09:03:09,Georgetown,752
2017-03-25 09:03:10,Georgetown,744
2017-03-25 09:03:11,Georgetown,749
2017-03-25 09:03:12,Georgetown,752
2017-03-25 09:03:13,Georgetown,749
2017-03-25 09:03:14,Georgetown,762
2017-03-25 09:03:15,Georgetown,757
2017-03-25 09:03:16,Georgetown,754
2017-03-25 09:03:17,Georgetown,754
2017-03-25 09:03:18,Georgetown,757
2017-03-25 09:03:19,Georgetown,760
2017-03-25 09:03:20,Georgetown,752
