datetime,location,noise
2017-03-25 09:04:45,Georgetown,483
2017-03-25 09:04:45,Georgetown,504
2017-03-25 09:04:46,Georgetown,521
2017-03-25 09:04:46,Georgetown,505
2017-03-25 09:04:47,Georgetown,504
2017-03-25 09:04:47,Georgetown,505
2017-03-25 09:04:48,Georgetown,501
2017-03-25 09:04:48,Georgetown,511
2017-03-25 09:04:49,Georgetown,513
2017-03-25 09:04:49,Georgetown,498
2017-03-25 09:04:50,Georgetown,506
2017-03-25 09:04:50,Georgetown,483
2017-03-25 09:04:51,Georgetown,495
2017-03-25 09:04:51,Georgetown,506
2017-03-25 09:04:52,Georgetown,493
2017-03-25 09:04:52,Georgetown,502
2017-03-25 09:04:53,Georgetown,515
2017-03-25 09:04:53,Georgetown,497
2017-03-25 09:04:54,Georgetown,499
2017-03-25 09:04:54,Georgetown,507
2017-03-25 09:04:55,Georgetown,500
2017-03-25 09:04:55,Georgetown,494
2017-03-25 09:04:56,Georgetown,510
2017-03-25 09:04:56,Georgetown,497
2017-03-25 09:04:57,Georgetown,490
2017-03-25 09:04:57,Georgetown,498
2017-03-25 09:04:58,Georgetown,509
2017-03-25 09:04:58,Georgetown,500
2017-03-25 09:04:59,Georgetown,505
2017-03-25 09:04:59,Georgetown,502
2017-03-25 09:05:00,Georgetown,495
2017-03-25 09:05:00,Georgetown,490
2017-03-25 09:05:01,Georgetown,499
2017-03-25 09:05:01,Georgetown,505
2017-03-25 09:05:02,Georgetown,490
2017-03-25 09:05:02,Georgetown,507
2017-03-25 09:05:03,Georgetown,498
2017-03-25 09:05:03,Georgetown,502
2017-03-25 09:05:04,Georgetown,475
2017-03-25 09:05:04,Georgetown,502
2017-03-25 09:05:05,Georgetown,501
2017-03-25 09:05:05,Georgetown,504
2017-03-25 09:05:06,Georgetown,504
2017-03-25 09:05:06,Georgetown,503
2017-03-25 09:05:07,Georgetown,508
2017-03-25 09:05:07,Georgetown,509
2017-03-25 09:05:08,Georgetown,508
2017-03-25 09:05:08,Georgetown,514
2017-03-25 09:05:09,Georgetown,509
2017-03-25 09:05:09,Georgetown,505
2017-03-25 09:05:10,Georgetown,521
2017-03-25 09:05:10,Georgetown,513
2017-03-25 09:05:11,Georgetown,493
2017-03-25 09:05:11,Georgetown,506
2017-03-25 09:05:12,Georgetown,513
2017-03-25 09:05:12,Georgetown,517
2017-03-25 09:05:13,Georgetown,513
2017-03-25 09:05:13,Georgetown,509
2017-03-25 09:05:14,Georgetown,503
2017-03-25 09:05:14,Georgetown,501
2017-03-25 09:05:15,Georgetown,498
2017-03-25 09:05:15,Georgetown,496
2017-03-25 09:05:16,Georgetown,507
2017-03-25 09:05:16,Georgetown,503
2017-03-25 09:05:17,Georgetown,544
2017-03-25 09:05:17,Georgetown,497
2017-03-25 09:05:18,Georgetown,502
2017-03-25 09:05:18,Georgetown,478
