datetime,location,count_operation,count_change,count_total
2017-03-18 08:59:09.769000,Georgetown,+,1,1
2017-03-18 08:59:13.994000,Georgetown,+,1,2
2017-03-18 08:59:15.326000,Georgetown,+,1,3
2017-03-18 08:59:15.977000,Georgetown,+,1,4
2017-03-18 08:59:17.561000,Georgetown,+,1,5
2017-03-18 08:59:18.205000,Georgetown,+,1,6
2017-03-18 08:59:19.256000,Georgetown,+,1,7
2017-03-18 08:59:20.476000,Georgetown,+,1,8
2017-03-18 08:59:21.007000,Georgetown,+,1,9
2017-03-18 08:59:21.746000,Georgetown,+,1,10
2017-03-18 08:59:22.434000,Georgetown,+,1,11
2017-03-18 08:59:23.093000,Georgetown,+,1,12
2017-03-18 08:59:23.662000,Georgetown,+,1,13
2017-03-18 08:59:24.236000,Georgetown,+,1,14
2017-03-18 08:59:25.060000,Georgetown,+,1,15
2017-03-18 08:59:26.068000,Georgetown,+,1,16
2017-03-18 08:59:26.778000,Georgetown,+,1,17
2017-03-18 08:59:27.394000,Georgetown,+,1,18
2017-03-18 08:59:28.180000,Georgetown,+,1,19
2017-03-18 08:59:28.830000,Georgetown,+,1,20
2017-03-18 08:59:30.240000,Georgetown,+,1,21
2017-03-18 08:59:40.908000,Georgetown,+,1,22
2017-03-18 09:00:56.498000,Georgetown,+,1,23
2017-03-18 09:05:53.779000,Georgetown,+,1,24
2017-03-18 09:05:54.954000,Georgetown,+,1,25
2017-03-18 09:18:01.603000,Georgetown,+,1,26
2017-03-18 09:18:02.402000,Georgetown,+,1,27
2017-03-18 09:18:03.050000,Georgetown,+,1,28
2017-03-18 09:18:03.827000,Georgetown,+,1,29
2017-03-18 09:18:03.971000,Georgetown,+,1,30
2017-03-18 09:18:04.547000,Georgetown,+,1,31
2017-03-18 11:13:26.815000,Georgetown,-,1,30
2017-03-18 11:14:07.623000,Georgetown,-,1,29
2017-03-18 11:14:14.426000,Georgetown,-,1,28
2017-03-18 11:16:38.502000,Georgetown,-,1,27
2017-03-18 11:16:43.421000,Georgetown,-,1,26
2017-03-18 11:16:44.102000,Georgetown,-,1,25
2017-03-18 11:16:45.159000,Georgetown,-,1,24
2017-03-18 11:16:45.421000,Georgetown,-,1,23
2017-03-18 11:16:45.719000,Georgetown,-,1,22
2017-03-18 11:16:50.698000,Georgetown,+,1,23
2017-03-18 11:16:51.499000,Georgetown,+,1,24
2017-03-18 11:16:56.945000,Georgetown,-,1,23
2017-03-18 11:17:19.031000,Georgetown,-,1,22
2017-03-18 11:17:20.732000,Georgetown,-,1,21
2017-03-18 11:17:21.486000,Georgetown,-,1,20
2017-03-18 11:17:25.686000,Georgetown,-,1,19
2017-03-18 11:17:26.199000,Georgetown,-,1,18
2017-03-18 11:17:26.723000,Georgetown,-,1,17
2017-03-18 11:17:29.024000,Georgetown,+,1,18
2017-03-18 11:17:34.171000,Georgetown,+,1,19
2017-03-18 11:17:36.836000,Georgetown,+,1,20
2017-03-18 11:18:03.070000,Georgetown,+,1,21
2017-03-18 11:18:29.999000,Georgetown,+,1,22
2017-03-18 11:18:31.063000,Georgetown,+,1,23
2017-03-18 11:18:31.671000,Georgetown,+,1,24
2017-03-18 11:19:22.407000,Georgetown,+,1,25
2017-03-18 11:19:23.645000,Georgetown,+,1,26
2017-03-18 11:20:46.259000,Georgetown,+,1,27
2017-03-18 11:21:12.843000,Georgetown,+,1,28
2017-03-18 11:21:25.031000,Georgetown,+,1,29
2017-03-18 11:21:31.346000,Georgetown,+,1,30
2017-03-18 12:39:59.700000,Georgetown,-,1,29
2017-03-18 12:40:01.080000,Georgetown,-,1,28
2017-03-18 12:40:01.727000,Georgetown,-,1,27
2017-03-18 12:40:04.620000,Georgetown,-,1,26
2017-03-18 12:40:05.213000,Georgetown,-,1,25
2017-03-18 12:40:06.680000,Georgetown,-,1,24
2017-03-18 12:40:13.085000,Georgetown,-,1,23
2017-03-18 12:40:14.193000,Georgetown,-,1,22
2017-03-18 12:40:15.087000,Georgetown,-,1,21
2017-03-18 12:40:16.527000,Georgetown,-,1,20
2017-03-18 12:40:35.562000,Georgetown,-,1,19
2017-03-18 12:40:37.305000,Georgetown,-,1,18
2017-03-18 12:40:37.738000,Georgetown,-,1,17
2017-03-18 12:40:38.102000,Georgetown,-,1,16
2017-03-18 12:40:41.844000,Georgetown,-,1,15
2017-03-18 12:40:46.550000,Georgetown,x,15,0
2017-03-18 13:57:10.331000,Georgetown,+,1,1
2017-03-18 13:57:17.863000,Georgetown,+,1,2
2017-03-18 13:57:18.505000,Georgetown,+,1,3
2017-03-18 13:57:19.021000,Georgetown,+,1,4
2017-03-18 13:57:19.585000,Georgetown,+,1,5
2017-03-18 13:57:20.016000,Georgetown,+,1,6
2017-03-18 13:57:20.479000,Georgetown,+,1,7
2017-03-18 13:57:21.051000,Georgetown,+,1,8
2017-03-18 13:57:21.657000,Georgetown,+,1,9
2017-03-18 13:57:22.142000,Georgetown,+,1,10
2017-03-18 13:57:22.623000,Georgetown,+,1,11
2017-03-18 13:57:23.139000,Georgetown,+,1,12
2017-03-18 13:57:23.794000,Georgetown,+,1,13
2017-03-18 13:57:24.201000,Georgetown,+,1,14
2017-03-18 13:57:24.860000,Georgetown,+,1,15
2017-03-18 13:57:25.292000,Georgetown,+,1,16
2017-03-18 13:57:25.842000,Georgetown,+,1,17
2017-03-18 13:57:26.351000,Georgetown,+,1,18
2017-03-18 13:57:26.947000,Georgetown,+,1,19
2017-03-18 13:57:28.129000,Georgetown,+,1,20
2017-03-18 13:57:28.578000,Georgetown,+,1,21
2017-03-18 13:57:28.906000,Georgetown,+,1,22
2017-03-18 13:57:29.263000,Georgetown,+,1,23
2017-03-18 13:57:29.708000,Georgetown,+,1,24
2017-03-18 13:57:30.079000,Georgetown,+,1,25
2017-03-18 13:57:30.449000,Georgetown,+,1,26
2017-03-18 13:57:30.853000,Georgetown,+,1,27
2017-03-18 13:57:31.215000,Georgetown,+,1,28
2017-03-18 13:57:31.674000,Georgetown,+,1,29
2017-03-18 13:57:32.072000,Georgetown,+,1,30
2017-03-18 15:35:39.963000,Georgetown,-,1,29
2017-03-18 15:35:42.099000,Georgetown,-,1,28
2017-03-18 15:35:42.296000,Georgetown,-,1,27
2017-03-18 15:35:53.836000,Georgetown,+,1,28
2017-03-18 15:35:54.380000,Georgetown,+,1,29
2017-03-18 15:35:54.608000,Georgetown,+,1,30
2017-03-18 15:40:58.756000,Georgetown,-,1,29
2017-03-18 16:07:22.016000,Georgetown,-,1,28
2017-03-18 16:07:49.982000,Georgetown,-,1,27
2017-03-18 16:08:05.819000,Georgetown,-,1,26
2017-03-18 16:08:15.911000,Georgetown,-,1,25
2017-03-18 16:08:16.570000,Georgetown,-,1,24
2017-03-18 16:09:57.260000,Georgetown,-,1,23
2017-03-18 16:10:08.939000,Georgetown,-,1,22
2017-03-18 16:11:22.781000,Georgetown,-,1,21
2017-03-18 16:12:10.216000,Georgetown,-,1,20
2017-03-18 16:12:11.361000,Georgetown,-,1,19
2017-03-18 16:18:15.157000,Georgetown,-,1,18
2017-03-18 16:21:05.324000,Georgetown,-,1,17
2017-03-18 16:21:06.365000,Georgetown,-,1,16
2017-03-18 16:21:07.650000,Georgetown,-,1,15
2017-03-18 16:25:33.800000,Georgetown,x,15,0
2017-03-25 09:07:33.819000,Georgetown,+,1,2
2017-03-25 09:07:34.179000,Georgetown,+,1,3
2017-03-25 09:07:35.289000,Georgetown,+,1,4
2017-03-25 09:07:35.612000,Georgetown,-,1,3
2017-03-25 09:07:36.689000,Georgetown,+,1,4
2017-03-25 09:07:39.689000,Georgetown,+,1,5
2017-03-25 09:07:40.703000,Georgetown,+,1,6
2017-03-25 09:07:41.202000,Georgetown,+,1,7
2017-03-25 09:07:41.669000,Georgetown,+,1,8
2017-03-25 09:07:42.042000,Georgetown,+,1,9
2017-03-25 09:07:42.563000,Georgetown,+,1,10
2017-03-25 09:07:43.215000,Georgetown,+,1,11
2017-03-25 09:07:43.677000,Georgetown,+,1,12
2017-03-25 09:07:44.126000,Georgetown,+,1,13
2017-03-25 09:07:44.545000,Georgetown,+,1,14
2017-03-25 09:07:44.994000,Georgetown,+,1,15
2017-03-25 09:08:18.773000,Georgetown,+,1,16
